url	host	kind	anchor_text	observed_at	capture_status	claim_ceiling
https://arxiv.org/abs/2210.11610	arxiv.org	arxiv	Large Language Models Can Self-Improve	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2306.02707	arxiv.org	arxiv	Orca: Progressive Learning from Complex Explanation Traces of GPT-4	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://aka.ms/orca-lm	aka.ms	project-page	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2310.00533	arxiv.org	arxiv	SELF: Self-Evolution with Language Feedback	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2407.12874	arxiv.org	arxiv	SELF-GUIDE: Better Task-Specific Instruction Following via Self-Synthetic Finetuning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/zhaochenyang20/Prompt2Model-Self-Guide	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.03059	arxiv.org	arxiv	Improving Model Alignment Through Collective Intelligence of Open-Source LLMS	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2503.02103	arxiv.org	arxiv	Superficial Self-Improved Reasoners Benefit from Model Merging	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/xiangchi-yuan/merge_syn	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2503.12303	arxiv.org	arxiv	Will Pre-Training Ever End? A First Step Toward Next-Generation Foundation MLLMs via Self-Improving Systematic Cognition	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/thunlp/SICOG?tab=readme-ov-file	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2506.10055	arxiv.org	arxiv	TaskCraft: Automated Generation of Agentic Tasks	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/OPPO-PersonalAI/TaskCraft	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.21561	arxiv.org	arxiv	Iterative Tool Usage Exploration for Multimodal Agents via Step-wise Preference Tuning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/SPORT-Agents/SPORT-Agents	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.22660	arxiv.org	arxiv	Maximizing Confidence Alone Improves Reasoning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/satrams/rent-rl	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2501.00747	arxiv.org	arxiv	DIVE: Diversified Iterative Self-Improvement	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/qinyiwei/DIVE	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2506.10943	arxiv.org	arxiv	Self-Adapting Language Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Continual-Intelligence/SEAL	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/pdf/2505.22453	arxiv.org	arxiv	First SFT, Second RL, Third UPT: Continual Improving Multi-Modal LLM Reasoning via Unsupervised Post-Training	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/waltonfuture/MM-UPT	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2503.00735	arxiv.org	arxiv	LADDER: Self-Improving LLMs Through Recursive Problem Decomposition	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2411.04109	arxiv.org	arxiv	Self-Consistency Preference Optimization	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2411.00412	arxiv.org	arxiv	Adapting While Learning: Grounding LLMs for Scientific Problems with Tool Usage Adaptation	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Rose-STL-Lab/Adapting-While-Learning	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.21493	arxiv.org	arxiv	Reinforcing General Reasoning Without Verifiers	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/sail-sg/VeriFree	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2603.15255	arxiv.org	arxiv	SAGE: Multi-Agent Self-Evolution for LLM Reasoning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2606.01279	arxiv.org	arxiv	ANDES: Agent Native Data Evolving Synthesis Tool for Autonomous Instruction Alignment	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/zzy1127/ANDES	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2605.13803	arxiv.org	arxiv	EvoGround: Self-Evolving Video Agents for Video Temporal Grounding	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/minjoong507/EvoGround	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2601.22607	arxiv.org	arxiv	From Self-Evolving Synthetic Data to Verifiable-Reward RL: Post-Training Multi-turn Interactive Tool-Using Agents	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2601.08699	arxiv.org	arxiv	RAGShaper: Eliciting Sophisticated Agentic RAG Skills via Automated Data Synthesis	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2502.11959	arxiv.org	arxiv	STRIVE: Structured Reasoning for Self-Improvement in Claim Verification	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.02902	arxiv.org	arxiv	Beyond Accuracy: The Role of Calibration in Self-Improving Large Language Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/anthropics/ConstitutionalHarmlessnessPaper?tab=readme-ov-file	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2312.10003	arxiv.org	arxiv	ReST meets ReAct: Self-Improvement for Multi-Step Reasoning LLM Agent	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2411.00418	arxiv.org	arxiv	Self-Evolved Reward Learning for LLMs	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/microsoft/DKI_LLM/tree/main/SER	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2506.02918v1	arxiv.org	arxiv	Sample, Predict, then Proceed: Self-Verification Sampling for Tool Use of LLMs	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.08827	arxiv.org	arxiv	RLSR: Reinforcement Learning from Self Reward	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.05812	arxiv.org	arxiv	Right Question is Already Half the Answer: Fully Unsupervised LLM Reasoning Incentivization	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/QingyangZhang/EMPO	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.16084	arxiv.org	arxiv	TTRL: Test-Time Reinforcement Learning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/PRIME-RL/TTRL	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.21444	arxiv.org	arxiv	Can Large Reasoning Models Self-Train?	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/tajwarfahim/srt	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.08827v1	arxiv.org	arxiv	Self Rewarding Self Improving	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.14970	arxiv.org	arxiv	Self-Evolving Curriculum for LLM Reasoning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/ServiceNow/sec	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.24726	arxiv.org	arxiv	Reflect, Retry, Reward: Self-Improving LLMs via Reinforcement Learning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2502.02534	arxiv.org	arxiv	Adaptive Self-improvement LLM Agentic System for ML Library Development	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/zhang677/PCL-lite	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.19590	arxiv.org	arxiv	Learning to Reason without External Rewards	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/sunblaze-ucb/Intuitor	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2601.07180	arxiv.org	arxiv	Structured Reasoning for Large Language Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/meghanaasunil/iReasoner	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://link.springer.com/article/10.1007/s11633-025-1598-5	link.springer.com	publisher	STRIVE: Structured Reasoning for Self-improvement in Claim Verification	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2601.03193	arxiv.org	arxiv	UniCorn: Towards Self-Improving Unified Multimodal Models through Self-Generated Supervision	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Hungryyan1/UniCorn	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2606.14302	arxiv.org	arxiv	Retrospective Progress-Aware Self-Refinement for LLM Agent Training	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2605.22905	arxiv.org	arxiv	EVE-Agent: Evidence-Verifiable Self-Evolving Agents	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2306.11706	arxiv.org	arxiv	RoboCat: A Self-Improving Generalist Agent for Robotic Manipulation	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/keirp/automatic_prompt_engineer	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.16410	arxiv.org	arxiv	Tool-Star: Empowering LLM-Brained Multi-Tool Reasoner via Reinforcement Learning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/RUC-NLPIR/Tool-Star	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2503.23145	arxiv.org	arxiv	CodeARC: Benchmarking Reasoning Capabilities of LLM Agents for Inductive Program Synthesis	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Anjiang-Wei/CodeARC	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.16078	arxiv.org	arxiv	LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2506.11425	arxiv.org	arxiv	Agent-RLVR: Training Software Engineering Agents via Guidance and Environment Rewards	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/THUDM/WebRL	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2507.14172	arxiv.org	arxiv	Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/flowersteam/SOAR	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.03160	arxiv.org	arxiv	DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/GAIR-NLP/DeepResearcher	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.01441v1	arxiv.org	arxiv	Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.21496	arxiv.org	arxiv	UI-Genie: A Self-Improving Approach for Iteratively Boosting MLLM-based Mobile GUI Agents	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Euphoria16/UI-Genie	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.20073	arxiv.org	arxiv	RAGEN: Understanding Self-Evolution in LLM Agents via Multi-Turn Reinforcement Learning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/mll-lab-nu/RAGEN	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2508.04700	arxiv.org	arxiv	SEAgent: Self-Evolving Computer Use Agent with Autonomous Learning from Experience	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/SunzeY/SEAgent	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2601.02439	arxiv.org	arxiv	WebGym: Scaling Training Environments for Visual Web Agents with Realistic Tasks	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/microsoft/webgym	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2507.11948	arxiv.org	arxiv	Kevin: Multi-Turn RL for Generating CUDA Kernels	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2602.21320	arxiv.org	arxiv	Tool-R0: Self-Evolving LLM Agents for Tool-Learning from Zero Data	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/emrecanacikgoz/Tool-R0	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2606.07412	arxiv.org	arxiv	Socratic-SWE: Self-Evolving Coding Agents via Trace-Derived Agent Skills	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2606.07367	arxiv.org	arxiv	Self-evolving LLM Agents with In-Distribution Optimization	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2607.22529	arxiv.org	arxiv	Skill Self-Play: Pushing the Frontier of LLM Capability with Co-Evolving Skills	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Qwen-Applications/skill-self-play	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2305.10626	arxiv.org	arxiv	Language Models Meet World Models: Embodied Experiences Enhance Language Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/szxiangjn/world-model-for-language-model	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2405.14205	arxiv.org	arxiv	Agent Planning with World Knowledge Model	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/zjunlp/WKM	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/kyle8581/WMA-Agents	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2411.14499	arxiv.org	arxiv	Understanding World or Predicting Future? A Comprehensive Survey of World Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/tsinghua-fib-lab/World-Model	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2506.01622	arxiv.org	arxiv	General agents contain world models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2504.21024	arxiv.org	arxiv	WebEvolver: Enhancing Web Agent Self-Improvement with Coevolving World Model	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Tencent/SelfEvolvingAgent	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2507.04370	arxiv.org	arxiv	WebSynthesis: World-Model-Guided MCTS for Efficient WebUI-Trajectory Synthesis	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/LucusFigoGao/WebSynthesis	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2501.10116	arxiv.org	arxiv	GAWM: Global-Aware World Model for Multi-Agent Reinforcement Learning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2511.09515	arxiv.org	arxiv	WMPO: World Model-based Policy Optimization for Vision-Language-Action Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/WM-PO/WMPO	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2510.15047	arxiv.org	arxiv	Internalizing World Models via Self-Play Finetuning for Agentic RL	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2601.00930	arxiv.org	arxiv	AlignUSER: Human-Aligned LLM Agents via World Models for Recommender System Evaluation	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2606.30639	arxiv.org	arxiv	Self-Evolving World Models for LLM Agent Planning	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2506.23468	arxiv.org	arxiv	NavMorph: A Self-Evolving World Model for Vision-and-Language Navigation in Continuous Environments	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/Feliciaxyao/NavMorph	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2510.01183	arxiv.org	arxiv	EvoWorld: Evolving Panoramic World Generation with Explicit 3D Memory	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/JiahaoPlus/EvoWorld	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2602.11075	arxiv.org	arxiv	RISE: Self-Improving Robot Policy with Compositional World Model	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/OpenDriveLab/RISE	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2211.01910	arxiv.org	arxiv	Large Language Models Are Human-Level Prompt Engineers	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2309.03409	arxiv.org	arxiv	Large Language Models as Optimizers	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/google-deepmind/opro	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2407.00247	arxiv.org	arxiv	Prompt Refinement with Image Pivot for Text-to-Image Generation	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/jingtaozhan/PromptReformulate	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2409.15199	arxiv.org	arxiv	Learning from Contrastive Prompts: Automated Optimization and Adaptation	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2402.08702	arxiv.org	arxiv	PRompt Optimization in Multi-Step Tasks (PROMST): Integrating Human Feedback and Heuristic-based Sampling	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
