source_path_percent_encoded	disposition_percent_encoded	destination	note
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fdiagnostics%2Fexports.test.ts	rewritten	atlas/src/diagnostics/exports.test.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fdiagnostics%2Fexports.ts	rewritten	atlas/src/diagnostics/exports.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fmain.tsx	rewritten	atlas/src/main.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fstyles%2Fcomponents.css	rewritten	atlas/src/styles/components.css	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fstyles%2Flayout.css	rewritten	atlas/src/styles/layout.css	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fstyles%2Ftokens.css	rewritten	atlas/src/styles/tokens.css	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Ftests%2Ffixtures%2Frsi-diagnosis-v1-aflow.json	rewritten	atlas/tests/fixtures/rsi-diagnosis-v1-aflow.json	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Ftests%2Fsetup.ts	rewritten	atlas/tests/setup.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Ftests%2Fstatic-export.test.mjs	rewritten	atlas/tests/static-export.test.mjs	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Ftsconfig.json	rewritten	atlas/tsconfig.json	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fvite.config.ts	rewritten	atlas/vite.config.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fvitest.config.ts	rewritten	atlas/vitest.config.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fbounded_transitive_closure.md	rewritten	knowledge/rsi/bounded_transitive_closure.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fautomated-research.md	rewritten	knowledge/rsi/chapters/automated-research.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fdurable-improvement-workflows.md	rewritten	knowledge/rsi/chapters/durable-improvement-workflows.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fevaluation-promotion-containment.md	rewritten	knowledge/rsi/chapters/evaluation-promotion-containment.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Ffoundation-model-inside-the-loop.md	rewritten	knowledge/rsi/chapters/foundation-model-inside-the-loop.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fharness-engineering.md	rewritten	knowledge/rsi/chapters/harness-engineering.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fharness-search.md	rewritten	knowledge/rsi/chapters/harness-search.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fjoint-harness-weight-adaptation.md	rewritten	knowledge/rsi/chapters/joint-harness-weight-adaptation.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Fprocedure-internalization.md	rewritten	knowledge/rsi/chapters/procedure-internalization.md	canonical path and standalone links
knowledge%2Frsi%2Fchapters%2Frecursive-improvement-loop.md	rewritten	knowledge/rsi/chapters/recursive-improvement-loop.md	canonical path and standalone links
knowledge%2Frsi%2Fclaim_evidence_ledger.md	rewritten	knowledge/rsi/claim_evidence_ledger.md	canonical path and standalone links
knowledge%2Frsi%2Fcodex_harness_deep_dive.md	rewritten	knowledge/rsi/codex_harness_deep_dive.md	canonical path and standalone links
knowledge%2Frsi%2Fcodex_state_continuity_and_compaction.md	rewritten	knowledge/rsi/codex_state_continuity_and_compaction.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fdurable-execution.md	rewritten	knowledge/rsi/concepts/durable-execution.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fevaluation-and-control.md	rewritten	knowledge/rsi/concepts/evaluation-and-control.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fharness-components.md	rewritten	knowledge/rsi/concepts/harness-components.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fharness-search-methods.md	rewritten	knowledge/rsi/concepts/harness-search-methods.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fimprovement-types.md	rewritten	knowledge/rsi/concepts/improvement-types.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fjoint-adaptation-methods.md	rewritten	knowledge/rsi/concepts/joint-adaptation-methods.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fmodel-adaptation.md	rewritten	knowledge/rsi/concepts/model-adaptation.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fprocedure-representations.md	rewritten	knowledge/rsi/concepts/procedure-representations.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fresearch-loop-components.md	rewritten	knowledge/rsi/concepts/research-loop-components.md	canonical path and standalone links
knowledge%2Frsi%2Fconcepts%2Fsystem-state-and-notation.md	rewritten	knowledge/rsi/concepts/system-state-and-notation.md	canonical path and standalone links
knowledge%2Frsi%2Fcontext_engineering_deep_dive.md	rewritten	knowledge/rsi/context_engineering_deep_dive.md	canonical path and standalone links
knowledge%2Frsi%2Fcoverage-map.tsv	rewritten	content/coverage-map.tsv	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Face.json	rewritten	content/diagnostics/cases/ace.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fadas.json	rewritten	content/diagnostics/cases/adas.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Faflow.json	rewritten	content/diagnostics/cases/aflow.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fahe.json	rewritten	content/diagnostics/cases/ahe.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Falphaevolve.json	rewritten	content/diagnostics/cases/alphaevolve.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fcontinual-harness.json	rewritten	content/diagnostics/cases/continual-harness.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fdgm.json	rewritten	content/diagnostics/cases/dgm.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fmce.json	rewritten	content/diagnostics/cases/mce.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fself-harness.json	rewritten	content/diagnostics/cases/self-harness.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fself-refine.json	rewritten	content/diagnostics/cases/self-refine.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fsia.json	rewritten	content/diagnostics/cases/sia.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fcases%2Fstop.json	rewritten	content/diagnostics/cases/stop.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fexport-schema.json	rewritten	content/diagnostics/export-schema.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Frules.json	rewritten	content/diagnostics/rules.json	canonical path and standalone links
knowledge%2Frsi%2Fdiagnostics%2Fworksheet-fields.json	rewritten	content/diagnostics/worksheet-fields.json	canonical path and standalone links
knowledge%2Frsi%2Fdomain_orientation.md	rewritten	knowledge/rsi/domain_orientation.md	canonical path and standalone links
knowledge%2Frsi%2Fevaluator_integrity_and_promotion.md	rewritten	knowledge/rsi/evaluator_integrity_and_promotion.md	canonical path and standalone links
knowledge%2Frsi%2Fevidence_graph.md	rewritten	knowledge/rsi/evidence_graph.md	canonical path and standalone links
knowledge%2Frsi%2Fharness_deep_dive_manifest.tsv	rewritten	content/harness_deep_dive_manifest.tsv	canonical path and standalone links
knowledge%2Frsi%2Fhermes_harness_deep_dive.md	rewritten	knowledge/rsi/hermes_harness_deep_dive.md	canonical path and standalone links
knowledge%2Frsi%2Fimplementation_harnesses.md	rewritten	knowledge/rsi/implementation_harnesses.md	canonical path and standalone links
knowledge%2Frsi%2Fimprovement_loop_taxonomy.md	rewritten	knowledge/rsi/improvement_loop_taxonomy.md	canonical path and standalone links
knowledge%2Frsi%2Flessons.json	rewritten	content/lessons.json	canonical path and standalone links
knowledge%2Frsi%2Flessons%2F01-self-refine-vs-persistence.md	rewritten	knowledge/rsi/lessons/01-self-refine-vs-persistence.md	canonical path and standalone links
knowledge%2Frsi%2Flessons%2F02-ace-vs-mce.md	rewritten	knowledge/rsi/lessons/02-ace-vs-mce.md	canonical path and standalone links
knowledge%2Frsi%2Flessons%2F03-adas-vs-aflow.md	rewritten	knowledge/rsi/lessons/03-adas-vs-aflow.md	canonical path and standalone links
knowledge%2Frsi%2Flessons%2F04-stop-vs-self-harness-ahe.md	rewritten	knowledge/rsi/lessons/04-stop-vs-self-harness-ahe.md	canonical path and standalone links
knowledge%2Frsi%2Flessons%2F05-alphaevolve-vs-dgm.md	rewritten	knowledge/rsi/lessons/05-alphaevolve-vs-dgm.md	canonical path and standalone links
knowledge%2Frsi%2Flessons%2F06-sia-vs-continual-harness.md	rewritten	knowledge/rsi/lessons/06-sia-vs-continual-harness.md	canonical path and standalone links
knowledge%2Frsi%2Fmissing_evidence.md	rewritten	knowledge/rsi/missing_evidence.md	canonical path and standalone links
knowledge%2Frsi%2Fpi_harness_deep_dive.md	rewritten	knowledge/rsi/pi_harness_deep_dive.md	canonical path and standalone links
knowledge%2Frsi%2Frecursive_language_models_compositional_generalization.md	rewritten	knowledge/rsi/recursive_language_models_compositional_generalization.md	canonical path and standalone links
knowledge%2Frsi%2Fretained-concepts.tsv	rewritten	content/retained-concepts.tsv	canonical path and standalone links
knowledge%2Frsi%2Frsi_harness_by_lil_log_deconstructed.md	rewritten	knowledge/rsi/rsi_harness_by_lil_log_deconstructed.md	canonical path and standalone links
knowledge%2Frsi%2Frsi_index.md	rewritten	knowledge/rsi/rsi_index.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fcapstone%2Fharvest_architecture_dossier.md	rewritten	knowledge/rsi/sicp/course/capstone/agent_harness_architecture_dossier.md	public Pi Hermes Codex dossier
knowledge%2Frsi%2Fsicp%2Fcourse%2Fcoverage.tsv	rewritten	content/sicp/course/coverage.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fdialogue_state.md	rewritten	knowledge/rsi/sicp/course/dialogue_state.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fexercise_map.md	rewritten	knowledge/rsi/sicp/course/exercise_map.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fscheme_reading_primer.md	rewritten	knowledge/rsi/sicp/course/scheme_reading_primer.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F01-process-shape-and-higher-order-abstraction.md	rewritten	knowledge/rsi/sicp/course/seminars/01-process-shape-and-higher-order-abstraction.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F02-data-abstraction-and-immutable-representation.md	rewritten	knowledge/rsi/sicp/course/seminars/02-data-abstraction-and-immutable-representation.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F03-trees-sequences-and-functional-interfaces.md	rewritten	knowledge/rsi/sicp/course/seminars/03-trees-sequences-and-functional-interfaces.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F04-symbols-sets-compression-and-generic-dispatch.md	rewritten	knowledge/rsi/sicp/course/seminars/04-symbols-sets-compression-and-generic-dispatch.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F05-state-identity-and-environments.md	rewritten	knowledge/rsi/sicp/course/seminars/05-state-identity-and-environments.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F06-mutation-simulation-and-constraints.md	rewritten	knowledge/rsi/sicp/course/seminars/06-mutation-simulation-and-constraints.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F07-concurrency-serialization-and-interleavings.md	rewritten	knowledge/rsi/sicp/course/seminars/07-concurrency-serialization-and-interleavings.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F08-streams-delay-and-infinite-processes.md	rewritten	knowledge/rsi/sicp/course/seminars/08-streams-delay-and-infinite-processes.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F09-eval-apply-and-executable-semantics.md	rewritten	knowledge/rsi/sicp/course/seminars/09-eval-apply-and-executable-semantics.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F10-lazy-evaluation-and-nondeterministic-search.md	rewritten	knowledge/rsi/sicp/course/seminars/10-lazy-evaluation-and-nondeterministic-search.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F11-logic-programming-and-declarative-query.md	rewritten	knowledge/rsi/sicp/course/seminars/11-logic-programming-and-declarative-query.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fseminars%2F12-machines-storage-control-and-compilation.md	rewritten	knowledge/rsi/sicp/course/seminars/12-machines-storage-control-and-compilation.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fcourse%2Fsicp_course_guide.md	rewritten	knowledge/rsi/sicp/course/sicp_course_guide.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fdomain_orientation.md	rewritten	knowledge/rsi/sicp/domain_orientation.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Feval-apply-reader-companion.md	rewritten	knowledge/rsi/sicp/eval-apply-reader-companion.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fmetacircular_evaluator_deep_dive.md	rewritten	knowledge/rsi/sicp/metacircular_evaluator_deep_dive.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fmissing_evidence.md	rewritten	knowledge/rsi/sicp/missing_evidence.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Frun_receipt.md	omitted-%74arocco-specific	-	obsolete source-repository run receipt
knowledge%2Frsi%2Fsicp%2Fsicp_index.md	rewritten	knowledge/rsi/sicp/sicp_index.md	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fsources%2Fartifact_digests.tsv	omitted-%74arocco-specific	-	obsolete whole-run digest receipt
knowledge%2Frsi%2Fsicp%2Fsources%2Fevidence_graph.tsv	rewritten	content/sicp/sources/evidence_graph.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fsources%2Fharness_revisions.tsv	rewritten	content/sicp/sources/harness_revisions.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsicp%2Fsources%2Fmaterialize_harness_sources.sh	replaced	crates/harp/src/sources.rs	hardened public-source materializer
knowledge%2Frsi%2Fsicp%2Fsources%2Fsource_registry.tsv	rewritten	content/sicp/sources/source_registry.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsource_registry.md	rewritten	knowledge/rsi/source_registry.md	canonical path and standalone links
knowledge%2Frsi%2Fsources%2Fcodex-state-continuity-claims.tsv	rewritten	content/sources/codex-state-continuity-claims.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsources%2Fcodex-state-continuity-provenance.md	rewritten	knowledge/rsi/sources/codex-state-continuity-provenance.md	canonical path and standalone links
knowledge%2Frsi%2Fsources%2Fevidence_graph.tsv	rewritten	content/sources/evidence_graph.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsources%2Fsource_registry.tsv	rewritten	content/sources/source_registry.tsv	canonical path and standalone links
knowledge%2Frsi%2Fsystem_state_and_notation.md	rewritten	knowledge/rsi/system_state_and_notation.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Face.md	rewritten	knowledge/rsi/systems/ace.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fadas.md	rewritten	knowledge/rsi/systems/adas.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Faflow.md	rewritten	knowledge/rsi/systems/aflow.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fahe.md	rewritten	knowledge/rsi/systems/ahe.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fai-scientist.md	rewritten	knowledge/rsi/systems/ai-scientist.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Falphaevolve.md	rewritten	knowledge/rsi/systems/alphaevolve.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fautoresearch.md	rewritten	knowledge/rsi/systems/autoresearch.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fcontinual-harness.md	rewritten	knowledge/rsi/systems/continual-harness.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fdgm.md	rewritten	knowledge/rsi/systems/dgm.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fharness-disentangle.md	rewritten	knowledge/rsi/systems/harness-disentangle.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fmce.md	rewritten	knowledge/rsi/systems/mce.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fmeta-harness.md	rewritten	knowledge/rsi/systems/meta-harness.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Frlm.md	rewritten	knowledge/rsi/systems/rlm.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fself-harness.md	rewritten	knowledge/rsi/systems/self-harness.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fsia.md	rewritten	knowledge/rsi/systems/sia.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fstop.md	rewritten	knowledge/rsi/systems/stop.md	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fsystem_readings.json	rewritten	content/systems/system_readings.json	canonical path and standalone links
knowledge%2Frsi%2Fsystems%2Fsystem_readings_index.md	rewritten	knowledge/rsi/systems/system_readings_index.md	canonical path and standalone links
knowledge%2Frsi%2Fweng-reading-map.json	rewritten	content/weng-reading-map.json	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F01-system-being-improved.md	rewritten	knowledge/rsi/weng/01-system-being-improved.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F02-harness-design-patterns.md	rewritten	knowledge/rsi/weng/02-harness-design-patterns.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F03-harness-layer-vs-core-intelligence.md	rewritten	knowledge/rsi/weng/03-harness-layer-vs-core-intelligence.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F04-context-engineering.md	rewritten	knowledge/rsi/weng/04-context-engineering.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F05-workflow-design-and-search.md	rewritten	knowledge/rsi/weng/05-workflow-design-and-search.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F06-self-improving-harnesses.md	rewritten	knowledge/rsi/weng/06-self-improving-harnesses.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F07-evolutionary-search.md	rewritten	knowledge/rsi/weng/07-evolutionary-search.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F08-joint-harness-weight-optimization.md	rewritten	knowledge/rsi/weng/08-joint-harness-weight-optimization.md	canonical path and standalone links
knowledge%2Frsi%2Fweng%2F09-future-challenges.md	rewritten	knowledge/rsi/weng/09-future-challenges.md	canonical path and standalone links
learning%2Fsicp_evaluator%2FCargo.lock	ported	labs/sicp-evaluator/Cargo.lock	standalone workspace member
learning%2Fsicp_evaluator%2FCargo.toml	ported	labs/sicp-evaluator/Cargo.toml	standalone workspace member
learning%2Fsicp_evaluator%2FREADME.md	rewritten	labs/sicp-evaluator/README.md	standalone workspace member
learning%2Fsicp_evaluator%2Fsrc%2Flib.rs	ported	labs/sicp-evaluator/src/lib.rs	standalone workspace member
learning%2Fsicp_evaluator%2Fsrc%2Fmain.rs	ported	labs/sicp-evaluator/src/main.rs	standalone workspace member
%73%6F%75%72%63%65%5F%67%72%61%70%68%2F%71%6D%64-collections%2Fgenerated%2F.gitkeep	replaced	crates/harp/src/search.rs	bundled SQLite FTS5 search
